name,screen_name,location,url,followers_count,friends_count,statuses_count,created_at,bySheet,keywords,display_url,listed_count,favourites_count,expanded_url,location,description
YA BOY THOM TILLIS,tillisthomas,,,2,5,1,Mon Nov 03 19:39:55 +0000 2014,Senators,Thom Tillis,,0,0,,,YA FUCKIN BOY THOM TILLIS VOTE ME TOMORROW
Lee  for Thom Tillis,Lee4Tillis,,,44,45,17,Sat Oct 26 23:52:19 +0000 2013,Senators,Thom Tillis,,0,1,,,This page is dedicated to informing Lee Co. voters and joining forces to get Speaker Tillis elected into the US Senate!
Fake Thom Tillis,NotThomTillis,Washington,,8,77,9,Fri Nov 07 21:46:43 +0000 2014,Senators,Thom Tillis,,0,1,,Washington,"The most uneducated politician in history to win an election. I hate women, gays, and black people. Screwing up the US Senate since November 4th, 2014."
Vote NO Thom Tillis,VoteNoTillis,,http://t.co/4NywbJwKV8,22,53,93,Wed Sep 17 01:22:25 +0000 2014,Senators,Thom Tillis,,0,25,,,Our mission is to make sure Thom Tillis is NOT elected as a US Senator from North Carolina.
Thom Tillis,CHABOYTHOM,,,0,1,8,Sun Nov 02 18:05:59 +0000 2014,Senators,Thom Tillis,,0,2,,,
Senator Thom Tillis,TillisThom,,,34,14,11,Sat Oct 25 18:16:08 +0000 2014,Senators,Thom Tillis,,2,0,,,"An account supporting Thom Tillis, but in no way affiliated with him. Be sure to vote."
Thom Tillis,patslapdog,,,3,82,8,Mon Oct 07 16:29:10 +0000 2013,Senators,Thom Tillis,,0,0,,,"I'm NOT Thom Tillis, but he likes Pat. What a joke of a leader who wants to be a Senator from NC"
Thom Tillis,RealThomTillis,,,2,53,5,Mon Sep 15 11:23:24 +0000 2014,Senators,Thom Tillis,,0,0,,,
Not Thom Tillis,yoitsthomtillis,,,0,0,0,Wed Nov 15 16:04:22 +0000 2017,Senators,Thom Tillis,,0,0,,,
Joel Bryant,SenThomTillis_,,,0,0,0,Wed Nov 05 04:31:27 +0000 2014,Senators,Thom Tillis,,0,0,,,
Thom Tillis,ThomTillis1,,,1,0,0,Sat Sep 30 12:50:25 +0000 2017,Senators,Thom Tillis,,0,0,,,
Thom Tillis,SenatorTillis,,,20,0,0,Sun Apr 06 22:45:31 +0000 2014,Senators,Thom Tillis,,0,0,,,
Senator John Hoeven,SenJohnHoeven,North Dakota,https://t.co/S1wB3GGEfX,50051,611,2347,Fri Sep 30 17:55:30 +0000 2011,Senators,John Hoeven,,1281,392,,North Dakota,Official account of U.S. Senator John Hoeven of North Dakota. https://t.co/ViVEXcWlhM
Indian Affairs Cmte,IndianCommittee,"Washington, D.C.",http://t.co/A6pTPZL5Ns,7330,251,1199,Tue Jul 05 15:49:14 +0000 2011,Senators,John Hoeven,,259,129,,"Washington, D.C.","Welcome to the official Twitter page of the United States Senate Committee on Indian Affairs, chaired by Senator John Hoeven of North Dakota."
Hoeven for Senate,hoeven4senate,North Dakota,https://t.co/zSZNJ4acbF,833,231,424,Wed Jan 20 14:42:44 +0000 2010,Senators,John Hoeven,,119,2,,North Dakota,Senator John Hoeven represents North Dakota in the United States Senate
John Hoeven,SenatorHoeven,,,91,0,0,Thu Jan 07 03:22:40 +0000 2010,Senators,John Hoeven,,8,0,,,
UNITY: John Hoeven,HoevenTrump16,"North Dakota, USA",https://t.co/MujCmgTEXy,130,880,7,Tue Jul 05 17:17:52 +0000 2016,Senators,John Hoeven,,2,2,,"North Dakota, USA",Unofficial Unity Campaign! Vote John Hoeven for Senate and Donal Trump for POTUS in 2016! Make North Dakota Great Again!
John,john_hoeven,Hendrik Ido Ambacht,,14,21,339,Sat May 01 20:32:27 +0000 2010,Senators,John Hoeven,,0,5,,Hendrik Ido Ambacht,
John hoeven,johnhoeven,,,40,1,377,Tue May 31 05:20:52 +0000 2011,Senators,John Hoeven,,1,0,,,
John Hoeven's Stache,TheHoevenStache,"DC, or North Dakota.  ",,8,0,0,Thu Feb 03 20:32:43 +0000 2011,Senators,John Hoeven,,0,0,,"DC, or North Dakota.  ",I'm bringing 'Stachey back...
john Vander Hoeven,VanderHoeven71,,,5,38,0,Thu Mar 29 22:44:02 +0000 2012,Senators,John Hoeven,,0,0,,,
John van der Hoeven,opadroppie,,,6,25,19,Fri Dec 13 23:06:02 +0000 2013,Senators,John Hoeven,,0,2,,,
john vander hoeven,johnny_vdh,,,21,73,5,Tue May 01 21:44:29 +0000 2012,Senators,John Hoeven,,0,0,,,Defense on the Niagara North Stars #4
John van der Hoeven,JohnCowbell,Bergschenhoek,,6,3,6,Fri Feb 19 22:42:08 +0000 2010,Senators,John Hoeven,,0,0,,Bergschenhoek,
John A. Hoeven,johnahoeven,,http://t.co/inlS1aHDpV,4,5,0,Sat Sep 28 13:49:26 +0000 2013,Senators,John Hoeven,,0,0,,,"murican in Italy, mechanic, musician and poppy"
John Van Der Hoeven,johnvderhoeven,Berkel en Rodenrijs,http://t.co/JpxUa6QEfD,4,6,1,Thu Jun 13 11:12:38 +0000 2013,Senators,John Hoeven,,0,0,,Berkel en Rodenrijs,
John van der Hoeven,johnvdhoeven,,,8,44,77,Fri Oct 26 16:31:08 +0000 2012,Senators,John Hoeven,,0,0,,,
john vd hoeven,javdhoeven,"Haskerdijken, Skarsterlân",,1,8,1,Thu Sep 06 16:55:02 +0000 2012,Senators,John Hoeven,,0,1,,"Haskerdijken, Skarsterlân",
John van der Hoeven,HoevenJ,,,2,2,0,Thu Sep 24 10:04:50 +0000 2009,Senators,John Hoeven,,0,0,,,
John van der Hoeven,johngradie,Vlaardingen,http://t.co/jK4EuBkx5D,0,12,10,Wed Aug 17 09:39:44 +0000 2011,Senators,John Hoeven,,0,2,,Vlaardingen,Beeldend kunstenaar
John van der Hoeven,monitoringpost1,,,0,0,0,Thu Jul 06 13:02:20 +0000 2017,Senators,John Hoeven,,0,0,,,
John Vander Hoeven,breakn80,,,7,11,3,Thu Nov 10 20:03:37 +0000 2011,Senators,John Hoeven,,0,2,,,
Sen. Heidi Heitkamp,SenatorHeitkamp,,https://t.co/9NWVrvmQZr,63069,769,9563,Fri Jan 04 17:57:48 +0000 2013,Senators,Heidi Heitkamp,,1405,904,,,"Official Twitter account for Heidi Heitkamp, U.S. Senator for #NorthDakota. Learn more on Facebook: https://t.co/kNHKJmIT9F….
Instagram: https://t.co/lJqjxdVnBC"
Heidi Heitkamp,HeidiHeitkamp,North Dakota,https://t.co/cxvPHwm5XI,5136,176,1133,Tue Jan 10 17:57:11 +0000 2012,Senators,Heidi Heitkamp,,219,798,,North Dakota,"U.S. Senator fighting for all North Dakotans. Former ND Attorney General. Wife, mother & sister. Breast cancer survivor, redhead & Pilates enthusiast. #HH4ND"
Heidi Heitkamp GSPP,GSPPHeitkamp,,,64,80,175,Sat Oct 08 18:32:42 +0000 2016,Senators,Heidi Heitkamp,,0,25,,,A fake Heidi Heitkamp account for the @GoldmanSchool budget simulation. Follow the real Heidi @SenatorHeitkamp.
Not Heidi Heitkamp,NotSenHeitkamp,,,0,3,1,Tue Mar 28 02:51:58 +0000 2017,Senators,Heidi Heitkamp,,0,0,,,Not Heidi Heitkamp. Opinions nonexistent.
Heitkamp Hypocrisy,heidi_hypocrisy,,,17,0,0,Thu Oct 19 15:42:31 +0000 2017,Senators,Heidi Heitkamp,,0,0,,,"Paid for by the Senate Leadership Fund. Not authorized by any Candidate or Candidate's Committee.

https://t.co/bPzQfXC5K6"
Heidi Heitkamp,HeidiForND,,,11,0,0,Thu Nov 03 22:34:59 +0000 2011,Senators,Heidi Heitkamp,,0,0,,,
Heidi Heitkamp,HeidiForSenate,,,5,0,0,Thu Nov 03 22:07:36 +0000 2011,Senators,Heidi Heitkamp,,0,0,,,
H,Heidi_Heitkamp,,,4,0,0,Wed Nov 02 15:36:51 +0000 2011,Senators,Heidi Heitkamp,,0,0,,,
H,HeidiHeitkamp_,,,21,0,0,Mon Oct 24 15:01:05 +0000 2011,Senators,Heidi Heitkamp,,0,0,,,
Heidi Heitkamp,Rosie2point0,,,1,5,0,Thu Feb 05 17:24:03 +0000 2015,Senators,Heidi Heitkamp,,0,0,,,
Heidi Heitkamp,heresheidi,,,12,0,0,Sun Jun 14 01:38:32 +0000 2009,Senators,Heidi Heitkamp,,0,0,,,
Heidi Heitkamp,HeidiHeitkampND,,,2,0,0,Mon Jan 16 14:47:08 +0000 2012,Senators,Heidi Heitkamp,,0,0,,,
Heidi Heitkamp,HeidiForNDakota,,,3,0,0,Thu Nov 03 22:37:07 +0000 2011,Senators,Heidi Heitkamp,,0,0,,,
Sherrod Brown,SenSherrodBrown,"Cleveland, OH",http://t.co/YX0sj7bkFG,275277,202,4079,Mon Jun 01 16:07:45 +0000 2009,Senators,Sherrod Brown,,3574,55,,"Cleveland, OH",Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.
Sherrod Brown,SherrodBrown,Ohio,http://t.co/1HPCgli4B2,26634,5286,3689,Mon Mar 16 21:01:17 +0000 2009,Senators,Sherrod Brown,,842,1,,Ohio,Official account for Sherrod Brown's Senate campaign.   Tweets from Sherrod are signed -SB.
Justin Barasky,JustinBarasky,"Columbus, OH",,6785,1209,39274,Sat Feb 28 14:17:32 +0000 2009,Senators,Sherrod Brown,,218,4717,,"Columbus, OH","Campaign Manager for @SherrodBrown. Priorities USA, DSCC, Sherrod Brown, Harry Reid alum. Cavs. Indians. Browns."
Sherrod Brown,SherryBrown38,Ohio,,705,1814,2748,Fri Jan 06 02:50:29 +0000 2012,Senators,Sherrod Brown,,22,90,,Ohio,Parody Account. Not the real Sherrod Brown. I love raising taxes and spending money. You'll never catch me with my hand in my own pocket
K. Mulhall Quintela,kemulhall,"Washington, DC",,224,755,955,Mon Aug 18 16:23:16 +0000 2008,Senators,Sherrod Brown,,11,143,,"Washington, DC",Sen. Sherrod Brown. DCCC alum. W&M alum. Feminist. Virginian. Lover of coffee and baked goods. Tweets are strictly my own.
Todd Kolod,ToddKolod,"Eivissa, Spain",,359,418,12823,Fri Nov 09 14:43:49 +0000 2012,Senators,Sherrod Brown,,21,1490,,"Eivissa, Spain","A lifelong Democrat from the Paul Wellstone, Elizabeth Warren, and Sherrod Brown wing."
MrBrown,MrSherrod_Brown,"Fayetteville,NC #9Dime",https://t.co/291J9W7mBE,1281,1417,8777,Thu Jul 15 20:59:46 +0000 2010,Senators,Sherrod Brown,,29,5,,"Fayetteville,NC #9Dime","#ProudFather #PrayWithoutCeasing , #GodSavedMe Practice Humility On A Daily Basis"
Sherrod Brown,sharingHisWord,〽️ichigan,,163,1071,475,Wed Aug 15 04:51:45 +0000 2012,Senators,Sherrod Brown,,0,473,,〽️ichigan,"lover of the Word of God,  Family,  &  Michigan 🏈"
Sherrod Brown,senbrown,,,136,0,0,Thu Apr 23 05:29:56 +0000 2009,Senators,Sherrod Brown,,4,0,,,
a lil mad,bakingwmaddie,A Flawed Democracy ,https://t.co/KTmQPZj6NO,900,2278,13758,Sat Oct 29 03:21:31 +0000 2011,Senators,Sherrod Brown,,9,7111,,A Flawed Democracy ,"charging toward the Oval | USG, CDO, PPGEN, all things Sherrod Brown | a ~professional~"
NoSherrodBrown,NoSherrodBrown,,,7,61,4,Fri Sep 21 02:26:37 +0000 2012,Senators,Sherrod Brown,,0,0,,,Not for politicians who fail to pass budgets and run our country into the ground with massive debt.
Faux Sherrod Brown,fauxSenBrownOH,"Ohio, USA",,6,85,79,Wed Feb 01 15:23:57 +0000 2017,Senators,Sherrod Brown,,0,7,,"Ohio, USA",The biggest D in Ohio!
Sherrod Brown,sherrodb216,Etats-Unis,https://t.co/zx0qSsnMOR,4,45,14,Mon Dec 07 02:56:46 +0000 2015,Senators,Sherrod Brown,,0,2,,Etats-Unis,Husband. Dad. Humanist. Senior Ohio United States Senator. 2016 Presidential Candidate.
SexySherrod,SherrodBrown5,"Indiana, USA",,25,17,1,Thu Sep 08 15:52:12 +0000 2016,Senators,Sherrod Brown,,0,3,,"Indiana, USA",
Sherrod Brown,sherrodb,,,14,3,5,Sat Sep 03 18:01:31 +0000 2011,Senators,Sherrod Brown,,0,3,,,
Sherrod Brown,SherrodBrown44,,https://t.co/eazjOAF8zf,1,0,0,Tue Aug 22 04:19:12 +0000 2017,Senators,Sherrod Brown,,0,0,,,Endorsed by Democratic Socialists of America. Routinely attend Andrew Jackson Day Dinner's around Ohio. Politician for 44 years. Russian Studies Degree. Parody.
Sherrod Brown Files,SherrodFiles,"Washington, DC",,18,0,0,Tue Jul 25 15:23:36 +0000 2017,Senators,Sherrod Brown,,1,0,,"Washington, DC","Paid for by Senate Leadership Fund. Not authorized by any Candidate or Candidate's Committee.

https://t.co/bPzQfXC5K6
https://t.co/cGP5F1OWaO"
Fake Sherrod Brown,DumpBrown2012,,,1,19,5,Tue Aug 21 18:53:06 +0000 2012,Senators,Sherrod Brown,,1,0,,,Sherrod Brown................#Failure
Draft Sherrod Brown,DraftSenBrown,USA,,1,7,2,Wed May 03 21:07:19 +0000 2017,Senators,Sherrod Brown,,0,0,,USA,A grassroots campaign to elect a real economic progressive as President of the United States in 2020.
Aaron Brown,SherrodBrown3,,http://t.co/95OQwS0gRD,7,1,3,Thu Apr 10 22:06:18 +0000 2014,Senators,Sherrod Brown,,0,0,,,"I am a graphic design student at  Specs Howard specializing in Ad, Logo Design, and layouts. I'm experienced in Photoshop, Dreamweaver, InDesign & Illustrator."
Rob Portman,senrobportman,Ohio,https://t.co/IR7Ky4qOaO,114671,5076,11096,Mon Jan 12 20:56:42 +0000 2009,Senators,Rob Portman,,2759,301,,Ohio,United States Senator from the Buckeye State.
Rob Portman,robportman,United States,https://t.co/q1s3M480IL,20070,1699,6665,Tue Jul 08 20:33:43 +0000 2014,Senators,Rob Portman,,415,1,,United States,Official Campaign Twitter for Rob Portman for Senate 2016. All tweets are from the campaign unless signed -RP.
Rob Portman,RobPortmanNews,,,1669,1795,23380,Tue Dec 03 21:09:52 +0000 2013,Senators,Rob Portman,,39,0,,,All news about Rob #Portman
Rob Portman,RPORTMANforeal,,,30,10,5,Tue Mar 15 23:14:31 +0000 2016,Senators,Rob Portman,,0,5,,,"This is a fake Rob Portman Twitter account being used strictly for educational purposes.
POL 234 W&L"
Portman Press Office,PortmanPress,,http://t.co/vhY0Mh86Aq,2139,4,778,Thu Jan 20 19:09:24 +0000 2011,Senators,Rob Portman,,183,0,,,Latest news from Senator Rob Portman's Communications Office
Portman4Senate,portman4senate,Ohio,http://t.co/fzRGuDPZLs,1123,450,746,Fri Jan 15 16:09:58 +0000 2010,Senators,Rob Portman,,69,0,,Ohio,Rob Portman for US Senate campaign - Follow Rob: @robportman
Kevin Hoggatt,Kevinhoggatt,"Wilmington, Ohio",,826,780,475,Thu Jul 09 18:11:34 +0000 2009,Senators,Rob Portman,,18,11,,"Wilmington, Ohio","Staffer for Senator Rob Portman, political junkie, travel enthusiast, and Xavier University grad.  Tweets are my own. Retweets do not = endorsements."
Future President,Teen4GOP,,,1300,1285,602,Wed Nov 26 02:34:23 +0000 2014,Senators,Rob Portman,,9,749,,,"Commonsense Conservative, believes in God, family, and Country. Patriot. OH (R) followed by Marco Rubio and Rob Portman"
Rob Portman's Tie,RobPortmanTie,On Sen. Rob Portman,,180,769,198,Thu Aug 30 01:28:25 +0000 2012,Senators,Rob Portman,,4,1,,On Sen. Rob Portman,"Currently the most news-worthy Windsor around. Not affiliated with the Senator from OH, but I sure do like him!"
hyperrealistic melone nutcracker,baph0meat,header by @snaketxt,https://t.co/hIrBANMK48,816,484,132750,Sun Oct 07 01:52:21 +0000 2012,Senators,Rob Portman,,29,217782,,header by @snaketxt,hey i'm ira and you're watching jackass. i'm the jackass | 24 | lesbian gender dadaist (it/he/she) | ☀️@marinauk21 💛
"Rob Portman, Coward",SenatorCoward,,,73,56,245,Thu Sep 21 21:25:28 +0000 2017,Senators,Rob Portman,,0,4,,,"Senator for the great state of Ohio, and a goddamn coward."
GSPP Rob Portman,RobPortmanGSPP,,,72,52,21,Fri Nov 04 01:13:46 +0000 2016,Senators,Rob Portman,,1,56,,,"Let's get America working again. (Created for the purposes of GSPP's budget simulation.) — run by Michael DeGroff, ‘19 MPP Candidate"
angry BYO pitchfork,gonebyChtistmas,,,59,123,2700,Fri Aug 04 03:14:43 +0000 2017,Senators,Rob Portman,,0,2162,,,just this.... https://t.co/e0YGcBeCHi
UNITY: Rob Portman,PortmanTrump16,"Ohio, USA",https://t.co/sTiHZh7jbT,215,1363,8,Tue Jul 05 16:35:38 +0000 2016,Senators,Rob Portman,,3,30,,"Ohio, USA",Unofficial Unity Campaign! Vote Rob Portman for Senate and Donald Trump for POTUS in 2016! Make Ohio Great Again!
Roberto Salvador,design_bastard,Brussels,http://t.co/BVEGdZcm2R,1435,1320,16439,Sun Feb 06 18:40:52 +0000 2011,Senators,Rob Portman,,68,758,,Brussels,"I'm That Design Bastard. I ❤ the internet, graphic design, comics & Natalie Portman. I hate Rob Schneider because he's a carrot & I also happen to be Batman."
Rob Portman,RobPortmanSim,,,29,26,81,Thu Feb 20 06:26:42 +0000 2014,Senators,Rob Portman,,0,2,,,An account for a simulated Senator Rob Portman
Rob Portman,HonestPortman,,,118,0,94,Fri Nov 17 20:21:23 +0000 2017,Senators,Rob Portman,,0,33,,,This account translates Senator Rob Portman's tweets into what they would say if he were honest.
Rob Portman,PAPPortman,,,18,11,0,Tue Oct 10 17:08:42 +0000 2017,Senators,Rob Portman,,0,0,,,Junior Senator Representing Ohio.
Rob Portman,RobPortmann,,,4,11,151,Fri Jun 15 14:04:52 +0000 2012,Senators,Rob Portman,,0,0,,,I don't know who you think I am.
Rob Portman,rportman,,,24,0,1,Wed Aug 05 14:21:01 +0000 2009,Senators,Rob Portman,,2,0,,,
Jim Inhofe,JimInhofe,Oklahoma,http://t.co/MsjJPG2F5l,34058,348,1185,Thu Jul 05 14:39:13 +0000 2007,Senators,Jim Inhofe,,1893,59,,Oklahoma,United States Senator from the great state of Oklahoma.
Donelle 🎄,HarderRambles,"Oklahoma City, OK",https://t.co/8HVOFF2bt3,876,545,8996,Tue Mar 10 15:42:19 +0000 2009,Senators,Jim Inhofe,,32,5720,,"Oklahoma City, OK","""Nothing any good isn't hard."" -F. Scott Fitzgerald | Ex-U.S. Senate spox for EPW Cmt, SASC, Sen. Jim Inhofe. career focused. family driven. Amarillo grown."
Brian Hackler,RealMrHackler,Edmond Oklahoma,https://t.co/iiuSDELUNE,689,320,812,Fri Jul 23 00:33:55 +0000 2010,Senators,Jim Inhofe,,6,2587,,Edmond Oklahoma,State Director for United States Senator Jim Inhofe - Father of 3 - Husband of 1 #Oklahoma 🏛🇺🇸
Jim Inhofe,PAPInhofe,"Tulsa, OK",https://t.co/oxQi7TiFR5,24,29,1,Tue Oct 10 17:32:29 +0000 2017,Senators,Jim Inhofe,,0,16,,"Tulsa, OK","Mock Account for Politics & Power, these tweets do not represent my views. This account is purely for educational purposes and all tweets are for PAP class."
Fake Jim Inhofe,JimInhofe_GSPP,,,24,44,24,Tue Nov 08 23:58:41 +0000 2016,Senators,Jim Inhofe,,0,13,,,This is a fake account for Senator Jim Inhofe for a budget simulation @UCBerkeley @GoldmanSchool. It does not represent the views of Sen. Inhofe.
Senator Jim Inhofe,SenJimInhofe,,,222,0,0,Fri Aug 03 17:58:35 +0000 2012,Senators,Jim Inhofe,,6,0,,,
Centaur Jim Inhofe,CentaurInhofe,"Oklahoma, USA",http://t.co/vyGbIb1a9y,23,213,12,Mon Jun 01 20:15:14 +0000 2015,Senators,Jim Inhofe,,0,2,,"Oklahoma, USA",Waging a mythic battle against science and the 21st century since 1978.
Jim Traber Inhofe,TraberInhofe,"OKC / Washington, DC",,57,781,1,Sun Jul 19 00:06:58 +0000 2015,Senators,Jim Inhofe,,0,0,,"OKC / Washington, DC",I am the ultimate super ego and Oklahoma's biggest embarrassment. My opinions are my own since I don't know what the hell I'm talking about anyway.
jim inhofe fan,InhofeFan,,,3,74,0,Wed Jun 21 05:35:54 +0000 2017,Senators,Jim Inhofe,,0,0,,,
Jim Inhofe,jamesinhofe,,,12,0,0,Mon Dec 21 16:02:55 +0000 2009,Senators,Jim Inhofe,,0,0,,,
Mythical Jim Inhofe,NotJimInhofe,,,6,26,37,Tue Aug 13 18:44:08 +0000 2013,Senators,Jim Inhofe,,0,0,,,"Middle name Mountain, last name God"
Sen. James Lankford,SenatorLankford,"Oklahoma and Washington, DC",http://t.co/TAadQSsJTA,50686,599,4807,Sun Dec 12 20:33:07 +0000 2010,Senators,James Lankford,,1490,207,,"Oklahoma and Washington, DC",Serving the State of Oklahoma in the United States Senate
James Lankford,jameslankford,"Oklahoma City, OK ",https://t.co/llDxwUQ8SR,10313,2501,3017,Fri Mar 27 16:54:33 +0000 2009,Senators,James Lankford,,322,4,,"Oklahoma City, OK ",Oklahoma's United States Senator. #LankfordSenate #OKSen
James Craig Lankford,lankfordjc1,"Somerville, NJ",,13,41,1,Sat Nov 19 01:38:21 +0000 2016,Senators,James Lankford,,0,2,,"Somerville, NJ",Attorney
James F Lankford,Sems471,,,1,1,0,Wed Dec 12 01:00:55 +0000 2012,Senators,James Lankford,,0,0,,,
Sen.James Lankford,sen_lankford,,,16,141,1,Sat Jul 08 00:00:09 +0000 2017,Senators,James Lankford,,0,37,,,
James Lankford,young_gee_TMB,,,2,12,1,Wed Aug 26 17:32:15 +0000 2009,Senators,James Lankford,,0,0,,,
fake james lankford,FakeJLankford,,,15,18,22,Thu Mar 23 20:20:10 +0000 2017,Senators,James Lankford,,0,9,,,
James Lankford,jlankfor,"Colorado Springs, CO",,3,11,1,Tue Mar 13 03:19:09 +0000 2012,Senators,James Lankford,,0,0,,"Colorado Springs, CO",US Army Retired
James Lankford,dragonzfang,Tennessee,,4,30,6,Mon Nov 30 19:56:48 +0000 2009,Senators,James Lankford,,0,0,,Tennessee,
james lankford,jameslankford4,,,0,1,0,Wed Jun 20 03:59:50 +0000 2012,Senators,James Lankford,,0,0,,,
James lankford,lankford_james,"Fairhope, AL",,22,37,8,Fri Feb 03 23:56:40 +0000 2012,Senators,James Lankford,,0,8,,"Fairhope, AL",
James G Lankford,jamesglankford,United States,,3,17,7,Mon Jan 26 17:08:09 +0000 2015,Senators,James Lankford,,0,0,,United States,Ummmmm?
James Lankford,lankfordjames90,"Hico, Texas",,27,91,2,Sun Mar 02 20:25:38 +0000 2014,Senators,James Lankford,,0,2,,"Hico, Texas",
James Dylan Lankford,DillardFillmore,Lex,,2,14,1,Sun Mar 31 20:55:39 +0000 2013,Senators,James Lankford,,0,0,,Lex,19
James Lankford,oxlarry07,,,4,13,8,Sun Jan 12 06:23:50 +0000 2014,Senators,James Lankford,,0,0,,,
James Lankford,TheRay79,Texas,,5,6,4,Wed Jun 29 18:04:56 +0000 2011,Senators,James Lankford,,0,0,,Texas,The one and only THE RAY
James Lankford,lankfj03,"Festus, MO",,8,132,30,Sun Jul 31 19:19:13 +0000 2011,Senators,James Lankford,,0,2,,"Festus, MO",
James Lankford,JamesLIKEwoah,"West Wendover, NV",,79,107,452,Mon Aug 23 20:58:24 +0000 2010,Senators,James Lankford,,0,53,,"West Wendover, NV",Unapologetically liberal. #SorryNotSorry
James Lankford,Se_14204751351,,,11,0,0,Wed Nov 05 16:09:39 +0000 2014,Senators,James Lankford,,1,0,,,
james lankford,RealLankford,,,0,0,0,Sun Mar 18 22:02:27 +0000 2012,Senators,James Lankford,,0,0,,,
Jeff Merkley,JeffMerkley,,http://t.co/asXTuWtyUg,28528,7111,1157,Sun Dec 05 16:03:18 +0000 2010,Senators,Jeff Merkley,,428,1256,,,Senator Jeff Merkley puts Oregon's priorities first. Official Campaign account for Jeff Merkley for Oregon. Tweets by Jeff are signed -JM.
Senator Jeff Merkley,SenJeffMerkley,Oregon,https://t.co/uoOTYAkx5J,272091,823,6712,Mon Apr 06 13:38:39 +0000 2009,Senators,Jeff Merkley,,3617,30,,Oregon,U.S. Senator from the State of Oregon. Instagram: https://t.co/pECsFBm1G1
Jeff Merkley News,NotJeffMerkley,Oregon,http://t.co/QBknxzTwLj,335,5,940,Wed Nov 05 14:04:03 +0000 2008,Senators,Jeff Merkley,,17,0,,Oregon,"UNOFFICIAL TWITTER - News About Jeff Merkley, US Senator from Oregon"
No To Novick,NoToNovick,,http://t.co/H95wr00UE3,22,24,5,Mon Mar 31 00:18:09 +0000 2008,Senators,Jeff Merkley,,0,0,,,"Steve Novick - As tax happy as Jeff Merkley, only funnier."
Jeff Merkley 2020,Merkley2020,United States,,35,8,5,Wed Apr 27 01:13:41 +0000 2016,Senators,Jeff Merkley,,1,2,,United States,Moving for a progressive alternative for president in 2020 can't continue to support Neolibreals and War Hawks #Merkley2020
Stetson Jeff Merkley,StetsonMerkley,,,10,32,9,Thu Mar 23 18:24:25 +0000 2017,Senators,Jeff Merkley,,0,14,,,
Draft Jeff Merkley,DraftMerkley,,,0,0,0,Tue Nov 21 02:43:05 +0000 2017,Senators,Jeff Merkley,,0,0,,,
jeff merkley,fatboy134,,,18,52,1,Mon Jun 29 01:02:19 +0000 2009,Senators,Jeff Merkley,,1,11,,,
jeff merkley,merkley_jeff,,,5,2,1,Wed Dec 14 01:44:49 +0000 2016,Senators,Jeff Merkley,,0,26,,,
tiip,MerkleyJeff,,,1,0,0,Mon Nov 21 22:49:45 +0000 2011,Senators,Jeff Merkley,,0,0,,,
Bob Casey Jr.,Bob_Casey,Pennsylvania,https://t.co/95Tr1FYAPG,3463,32,670,Wed Dec 02 19:10:41 +0000 2009,Senators,Bob Casey Jr.,,215,2,,Pennsylvania,"Official campaign account, U.S. Senator Bob Casey"
"Bob Casey, Jr.",BobCMCasey,,,35,32,51,Mon Apr 01 19:43:05 +0000 2013,Senators,Bob Casey Jr.,,1,5,,,"While I am not the real Bob Casey, during this simulation I will fight tirelessly for Pennsylvania priorities and Pennsylvania values."
Pat Toomey,PatToomey,"Allentown, PA",https://t.co/oOtvMz0UuP,14295,5114,3461,Mon Mar 23 18:48:49 +0000 2009,Senators,Pat Toomey ,,933,2,,"Allentown, PA",Official Campaign Account of Republican U.S. Senator Pat Toomey
Senator Pat Toomey,SenToomey,,http://t.co/7dKjJ0xolY,95312,1062,4074,Mon Nov 29 22:32:09 +0000 2010,Senators,Pat Toomey ,,2439,228,,,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.
Pat Toomey,pat2me10,"Brick, New Jersey|7⃣3⃣2⃣",,845,598,22273,Sat Jul 16 05:11:45 +0000 2011,Senators,Pat Toomey ,,3,21041,,"Brick, New Jersey|7⃣3⃣2⃣",Towson University | TU Football #16 4th down QB sc: pat.toomey
Kris Toomey,katoomey,,http://t.co/tUiS0r3cXv,77,80,63,Thu Jul 23 12:06:09 +0000 2009,Senators,Pat Toomey ,,5,12,,,wife of Senator Pat Toomey
Megan Whelan,reallymegan,Philly,,505,564,19000,Mon Dec 08 04:18:57 +0000 2008,Senators,Pat Toomey ,,18,12757,,Philly,"Medical editor | Lover of wrestling, longform journalism, dogs, and cereal. Hater of @septa and Pat Toomey."
Where's Pat Toomey?,IfUSeePat,,,327,146,177,Wed Jan 25 12:57:24 +0000 2017,Senators,Pat Toomey ,,1,17,,,Try to find the missing Senator from Pennsylvania!
Recall Pat Toomey,RecallPatToomey,"Pennsylvania, USA",,330,782,1315,Mon Feb 06 16:48:51 +0000 2017,Senators,Pat Toomey ,,4,1042,,"Pennsylvania, USA","Dedicated to the removal of Pat Toomey as Senator for Pennsylvania.  He refuses to be accountable to his constituents.  If he will not, he should step down."
